"Nom_de_la_gare","Code_UIC","voyageurs_2016","voyageurs_2015"
"Paris Nord","271007","206691760","214220327"
"Paris St Lazare","384008","107941079","105324691"
"Paris Gare de Lyon","686006","100422655","101249573"
"Paris Montparnasse 1 et 2+Vaugirard","391003","53593297","53890474"
"Paris Est","113001","33163296","33681792"
"Lyon Part Dieu","723197","29876563","31993238"
"Paris Austerlitz","547000","22826428","23182286"
"Strasbourg","212027","18336028","18053898"
"Lille Flandres","286005","18023854","18384462"
"Bordeaux Saint-Jean","581009","12253951","11975482"
"Marseille Saint-Charles","751008","12206077","12351081"
"Nantes","481002","11009424","10592389"
"Toulouse Matabiau","611004","10035656","9961154"
"Rennes","471003","9531299","9252974"
"Montpellier Saint-Roch","773002","8222823","8008942"
"Nancy","141002","7670652","7896116"
"Grenoble","747006","7256999","7530317"
"Lille Europe","223263","7133768","7447028"
"Metz","192039","6955138","7390514"
"Nice","756056","6859865","7164233"
"Lyon Perrache","722025","6111077","5673875"
"Rouen Rive Droite","411017","5846082","6118355"
"Dijon","713040","5796935","6060661"
"Marne la Vallée Chessy","111849","5607932","5999068"
"Angers Saint Laud","484006","5318581","5284928"
"Amiens","313874","5232769","5362757"
"Tours","571000","5156584","4664457"
"Le Mans","396002","4928529","4914325"
"Mulhouse","182063","4874589","5044556"
"Nîmes","775007","4006003","3836768"
"Arras","342014","3994260","3972158"
"Saint-Étienne Châteaucreux","726000","3853846","3471228"
"Reims","171009","3731555","3817198"
"Avignon TGV","318964","3678716","4244310"
"Chambéry Challes les Eaux","741009","3604056","3807875"
"Clermont Ferrand","734004","3505900","3714623"
"Colmar","182014","3500569","3646561"
"Orléans","543009","3419367","3553105"
"Toulon","755009","3378984","3344004"
"Aix en Provence-TGV","319012","3297316","3611440"
"Cannes","757625","3180933","3279478"
"Saint-Pierre des Corps","571240","3064214","3557561"
"Valenciennes","343004","3050787","3144318"
"Caen","444000","3043126","3223446"
"Poitiers","575001","2875760","2949849"
"Douai","345009","2825738","2857231"
"Thionville","191007","2741451","2763231"
"Valence TGV Rhône-Alpes Sud","763029","2553424","3290657"
"Compiègne","276691","2253905","2303690"
"Annecy","746008","2227568","2262889"
"Besançon-Viotte","718007","2019431","2118245"
"Massy TGV","393702","2013034","1906692"
"Perpignan","784009","1948294","1655190"
"La Rochelle","485003","1785041","1885458"
"Bourg en Bresse","743005","1715679","1768560"
"Dunkerque","281006","1652728","1727625"
"Angoulême","583005","1646983","1606006"
"Brest","474007","1634475","1618007"
"Antibes","757674","1622742","1760924"
"Limoges Bénédictins","592006","1610599","1665153"
"Le Havre","413013","1600943","1729425"
"Les Aubrais Orléans","543017","1594515","1672168"
"Lens","345025","1581057","1564829"
"Narbonne","781104","1515883","1364030"
"Blois","574004","1466599","1510967"
"Béziers","781005","1387028","1266592"
"Vannes","476606","1328851","1317075"
"Aix les Bains le Revard","741132","1283506","1295561"
"Chalon sur Saône","725002","1264996","1389893"
"Bellegarde","745000","1256178","1197657"
"NIORT","485300","1249055","1203244"
"Libourne","584052","1241747","1283954"
"Lyon Saint-Exupéry TGV","762906","1239397","1264521"
"Laval","478404","1232614","1202464"
"Saint-Brieuc","473009","1226890","1204510"
"Vichy","732008","1191888","1239031"
"Lorient","476002","1160906","1176421"
"Agen","586008","1106478","1158742"
"Charlevilles Mézières","172007","1091493","1165004"
"Saint-Malo","478107","1090420","1090006"
"Evreux Normandie","387001","1084619","1113650"
"Montauban Ville Bourbon","611244","1073433","1087141"
"Lisieux","444265","1066761","1064978"
"Sète","773200","1059750","1034027"
"Quimper","474098","1054026","908486"
"Belfort","184002","1052682","1149902"
"Saint-Raphaël Valescure","757526","1048552","1084720"
"Montélimar","764001","973907","922721"
"Troyes","118000","945961","975356"
"Saint-Nazaire","481705","853503","882921"
"La Roche sur Yon","486019","851971","881434"
"Bourges","576207","851513","930856"
"Champagne Ardenne TGV","171926","831609","1034315"
"Dax","673202","824634","861063"
"Vierzon Ville","576009","814009","808857"
"Brive la Gaillarde","594002","797188","827337"
"Nevers","696005","782776","832510"
"Carcassonne","615286","779949","816645"
"Auray","476200","774212","765825"
"Pau","672006","739761","780885"
"Châteauroux","597005","731376","766504"
"Belfort Montbéliard TGV","300822","731291","736456"
"Trouville-Deauville","444372","718740","743435"
"Bayonne","673004","712900","820806"
"Moulins sur Allier","696328","687306","731265"
"Le Creusot TGV (Monceau Montchanin)","694109","679127","800697"
"Lourdes","671339","675164","686179"
"Calais-Fréthun","281071","637324","669769"
"Agde","781278","632685","637131"
"Besançon Franche-Comté TGV","300863","606090","826650"
"Les Arcs Draguignan","755447","599533","637030"
"Guingamp","473207","564349","552951"
"Lorraine TGV","142109","549055","679082"
"Morlaix","474338","532424","524505"
"Cherbourg","444877","532207","568669"
"Châtellerault","575142","488194","505263"
"Tarbes","671008","458373","489110"
"Vendôme Villiers sur Loir","571216","422891","448472"
"La Baule Escoublac","481754","411110","392277"
"Mâcon Loché TGV","725705","407629","447954"
"Moutiers Salins Brides les Bains","741728","341382","366290"
"Biarritz","673400","337741","388748"
"TGV Haute-Picardie","313882","324016","411348"
"Bourg Saint Maurice","741793","301649","288446"
"Hendaye","677005","300282","328688"
"Meuse TGV","147322","178894","169443"
"Futuroscope","324095","163557","152874"
