UIC;Gare;Piano;Power&Station;Baby-Foot;Distr Histoires Courtes;total
0087586008;Agen;1;0;0;0;1
0087484006;Angers Saint-Laud;1;0;1;1;3
0087318964;Avignon TGV;1;3;0;1;5
0087382002;Bécon les Bruyères;1;0;0;0;1
0087300822;Belfort - Montbéliard TGV;1;3;0;0;4
0087300863;Besançon Franche-Comté TGV;1;0;1;0;2
0087741009;Chambéry - Challes-les-Eaux;1;0;0;0;1
0087171926;Champagne-Ardenne TGV;1;0;1;1;3
0087673202;Dax;0;0;0;1;1
0087387001;Évreux Normandie;0;0;1;0;1
0087413013;Le Havre;1;2;0;0;3
0087722025;Lyon Perrache;1;3;1;1;6
0087182063;Mulhouse;0;1;0;1;2
0087141002;Nancy;1;3;0;1;5
0087547026;Paris Austerlitz;0;2;1;0;3
87113001.0;Paris Est;1;3;1;1;6
0087391003;Paris Montparnasse;1;7;1;1;10
0087474098;Quimper;0;0;0;1;1
0087471003;Rennes;1;1;1;1;4
0087212027;Strasbourg;1;3;1;1;6
0087343004;Valenciennes;1;0;0;0;1
0087615468;Castres;0;1;0;0;1
0087381897;Conflans-Sainte-Honorine;0;0;0;1;1
0087747006;Grenoble;1;0;1;1;3
0087677005;Hendaye;1;0;0;0;1
0087478404;Laval;1;0;0;0;1
0087723197;Lyon Part Dieu;0;0;0;1;1
0087762906;Lyon Saint-Exupéry TGV;1;3;1;1;6
0087751008;Marseille Saint-Charles;1;3;0;1;5
0087393702;Massy TGV;1;2;0;1;4
0087611244;Montauban Ville Bourbon;1;0;0;0;1
0087775007;Nîmes;1;0;0;1;2
0087485300;Niort;0;1;0;0;1
0087271023;Paris Gare du Nord;1;0;0;0;1
0087473009;Saint-Brieuc;0;1;1;1;3
0087313882;TGV Haute Picardie;1;0;1;0;2
0087611004;Toulouse Matabiau;1;2;1;1;5
0087571000;Tours;1;0;1;1;3
0087571216;Vendôme - Villiers-sur-Loir;1;0;1;0;2
0087319012;Aix-en-Provence TGV;1;0;1;1;3
0087611533;Ax-les-Thermes;0;1;0;0;1
0087718007;Besançon Viotte;1;0;0;0;1
0087328328;Bibliothèque François Mitterrand;1;0;0;0;1
0087594002;Brive-la-Gaillarde;0;0;0;1;1
0087172007;Charleville-Mézières;1;0;0;0;1
0087713040;Dijon;1;0;1;0;2
0087276055;Ermont - Eaubonne;0;0;0;1;1
0087447680;Granville;0;0;1;0;1
0087486019;La Roche-sur-Yon;0;0;1;1;2
0087345025;Lens;0;0;1;0;1
0087592006;Limoges Bénédictins;1;2;1;0;4
0087111849;Marne-la-Vallée Chessy;1;3;1;1;6
0087773002;Montpellier Saint-Roch;1;0;0;1;2
0087686006;Paris Gare de Lyon;2;3;1;4;10
0087271007;Paris Gare du Nord;2;3;0;2;7
0087391102;Paris Montparnasse;0;0;1;0;1
0087575001;Poitiers;1;2;0;0;3
0087755009;Toulon;1;0;0;0;1
0087611749;Auch;0;1;0;0;1
0087743005;Bourg-en-Bresse;1;0;0;0;1
0087474007;Brest;1;0;0;1;2
0087757625;Cannes;1;0;0;0;1
0087276691;Compiègne;0;2;0;0;2
0087276006;Creil;1;0;0;0;1
0087345009;Douai;1;0;0;0;1
0087485003;La Rochelle;0;2;1;0;3
0087286005;Lille Flandres;1;3;1;0;5
0087444265;Lisieux;0;0;1;0;1
0087543009;Orléans;1;3;0;0;4
0087547000;Paris Austerlitz;1;3;1;2;7
0087686667;Paris Bercy Bourgogne - Pays d'Auvergne;1;0;1;1;3
0087784009;Perpignan;0;0;0;1;1
0087411017;Rouen Rive Droite;1;0;1;0;2
0087571240;Saint-Pierre-des-Corps;0;0;0;2;2
0087671008;Tarbes;1;0;0;1;2
0087444372;Trouville - Deauville;1;0;0;1;2
0087271494;Aéroport Charles de Gaulle 2 TGV;1;3;1;2;7
0087313874;Amiens;1;2;1;0;4
0087746008;Annecy;1;0;0;0;1
0087765008;Avignon Centre;1;0;0;0;1
0087745000;Bellegarde;1;0;0;0;1
0087581009;Bordeaux Saint-Jean;2;2;1;1;6
0087741793;Bourg-Saint-Maurice;1;0;1;0;2
0087281071;Calais - Fréthun;1;0;0;0;1
0087116111;Chelles - Gournay;1;0;0;1;2
0087481754;La Baule-Escoublac;1;0;0;0;1
0087396002;Le Mans;0;0;0;1;1
0087543017;Les Aubrais;1;0;0;0;1
0087223263;Lille Europe;1;3;1;1;6
0087476002;Lorient;1;1;0;0;2
0087192039;Metz Ville;1;3;1;0;5
087756403;Monaco;1;3;0;0;4
0087611038;Muret;0;0;0;1;1
0087481002;Nantes;1;3;1;1;6
0087756056;Nice;1;0;0;1;2
0087384008;Paris Saint-Lazare;1;3;0;1;5
0087595009;Périgueux;1;0;0;1;2
0087171009;Reims;1;2;0;0;3
0087654798;Rosa Parks;0;0;1;0;1
0087726000;Saint-Étienne Châteaucreux;0;3;1;0;4
0087393843;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;0;0;1;0;1
0087763029;Valence TGV Rhône-Alpes Sud;1;0;1;0;2
0087476606;Vannes;1;0;0;0;1
0087732008;Vichy;1;0;0;0;1
