"UIC","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"586008","1","0","0","0"
"484006","1","0","1","1"
"318964","1","3","0","1"
"382002","1","0","0","0"
"300822","1","3","0","0"
"300863","1","0","1","0"
"741009","1","0","0","0"
"171926","1","0","1","1"
"673202","0","0","0","1"
"387001","0","0","1","0"
"413013","1","2","0","0"
"722025","1","3","1","1"
"182063","0","1","0","1"
"141002","1","3","0","1"
"547026","0","2","1","0"
"113001","1","3","1","1"
"391003","1","7","1","1"
"474098","0","0","0","1"
"471003","1","1","1","1"
"212027","1","3","1","1"
"343004","1","0","0","0"
"615468","0","1","0","0"
"381897","0","0","0","1"
"747006","1","0","1","1"
"677005","1","0","0","0"
"478404","1","0","0","0"
"723197","0","0","0","1"
"762906","1","3","1","1"
"751008","1","3","0","1"
"393702","1","2","0","1"
"611244","1","0","0","0"
"775007","1","0","0","1"
"485300","0","1","0","0"
"271023","1","0","0","0"
"473009","0","1","1","1"
"313882","1","0","1","0"
"611004","1","2","1","1"
"571000","1","0","1","1"
"571216","1","0","1","0"
"319012","1","0","1","1"
"611533","0","1","0","0"
"718007","1","0","0","0"
"328328","1","0","0","0"
"594002","0","0","0","1"
"172007","1","0","0","0"
"713040","1","0","1","0"
"276055","0","0","0","1"
"447680","0","0","1","0"
"486019","0","0","1","1"
"345025","0","0","1","0"
"592006","1","2","1","0"
"111849","1","3","1","1"
"773002","1","0","0","1"
"686006","2","3","1","4"
"271007","2","3","0","2"
"391102","0","0","1","0"
"575001","1","2","0","0"
"755009","1","0","0","0"
"611749","0","1","0","0"
"743005","1","0","0","0"
"474007","1","0","0","1"
"757625","1","0","0","0"
"276691","0","2","0","0"
"276006","1","0","0","0"
"345009","1","0","0","0"
"485003","0","2","1","0"
"286005","1","3","1","0"
"444265","0","0","1","0"
"543009","1","3","0","0"
"547000","1","3","1","2"
"686667","1","0","1","1"
"784009","0","0","0","1"
"411017","1","0","1","0"
"571240","0","0","0","2"
"671008","1","0","0","1"
"444372","1","0","0","1"
"271494","1","3","1","2"
"313874","1","2","1","0"
"746008","1","0","0","0"
"765008","1","0","0","0"
"745000","1","0","0","0"
"581009","2","2","1","1"
"741793","1","0","1","0"
"281071","1","0","0","0"
"116111","1","0","0","1"
"481754","1","0","0","0"
"396002","0","0","0","1"
"543017","1","0","0","0"
"223263","1","3","1","1"
"476002","1","1","0","0"
"192039","1","3","1","0"
"756403","1","3","0","0"
"611038","0","0","0","1"
"481002","1","3","1","1"
"756056","1","0","0","1"
"384008","1","3","0","1"
"595009","1","0","0","1"
"171009","1","2","0","0"
"654798","0","0","1","0"
"726000","0","3","1","0"
"393843","0","0","1","0"
"763029","1","0","1","0"
"476606","1","0","0","0"
"732008","1","0","0","0"
