"UIC","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo"
"111849","0","0","8","31","20","6","0","34","0","0"
"113001","0","0","2","12","82","2","0","1","1","1"
"118000","0","0","14","32","0","0","0","20","32","1"
"141002","0","0","20","44","0","1","15","6","11","3"
"142109","0","2","19","0","0","3","0","47","29","0"
"171009","0","3","15","44","0","1","17","11","7","1"
"182014","0","1","20","40","0","0","0","18","14","6"
"182063","0","1","11","27","0","3","29","8","15","6"
"192039","0","1","18","43","0","1","13","14","9","1"
"212027","0","1","11","27","0","2","41","4","6","9"
"223263","0","0","4","22","32","6","6","12","17","1"
"271007","0","0","5","10","79","3","0","1","1","1"
"271494","0","0","0","28","42","5","0","25","0","0"
"286005","0","0","5","34","45","2","4","4","5","1"
"300822","0","9","18","2","0","9","0","36","26","0"
"300863","0","3","5","16","0","6","0","44","26","0"
"313874","0","0","30","56","0","1","0","4","7","2"
"318964","1","4","16","2","0","7","0","19","51","0"
"319012","0","7","20","0","0","6","0","33","34","0"
"345025","0","2","33","32","0","2","0","12","18","1"
"384008","0","0","6","23","70","0","0","0","0","0"
"391003","1","0","8","10","74","5","0","1","2","0"
"393702","0","0","20","12","22","10","0","36","0","0"
"396002","1","2","4","24","0","1","46","14","6","3"
"411017","1","0","15","33","0","2","30","6","12","2"
"444000","0","0","12","14","0","1","30","20","21","2"
"444877","0","5","11","30","0","5","0","23","22","3"
"471003","0","1","10","22","41","5","0","6","11","3"
"476002","1","1","30","27","0","4","0","9","22","5"
"478404","1","0","11","27","0","7","0","25","29","2"
"481002","0","0","20","17","0","5","30","20","5","3"
"484006","0","3","17","31","0","4","15","16","10","3"
"547000","0","1","6","18","68","3","0","2","1","2"
"571000","0","0","12","47","0","1","19","6","7","7"
"575001","1","3","24","28","0","3","0","18","23","0"
"581009","0","1","19","20","0","2","29","5","25","0"
"583005","0","4","24","16","0","4","0","15","37","0"
"611004","0","1","12","19","55","1","0","4","7","2"
"673004","1","0","22","18","0","2","0","12","43","2"
"673400","1","2","31","9","0","10","0","14","30","3"
"677005","3","2","34","33","0","5","0","9","12","2"
"686006","0","0","6","8","72","5","0","4","3","1"
"713040","0","0","9","32","0","3","36","6","11","3"
"718007","0","1","32","36","0","2","0","9","15","5"
"722025","0","0","11","33","29","2","13","6","5","1"
"723197","0","1","17","20","26","7","15","5","8","2"
"747006","0","1","2","33","0","3","44","5","6","5"
"751008","1","0","4","35","42","4","0","5","8","0"
"753657","0","0","11","41","0","2","0","21","19","6"
"755009","1","1","23","30","0","4","0","10","30","1"
"756056","1","2","13","51","0","1","20","2","8","2"
"757625","0","0","20","62","0","1","0","3","14","0"
"762906","0","7","5","1","0","3","22","38","23","0"
"763029","0","5","9","4","0","4","0","38","38","1"
"773002","0","1","4","31","0","2","46","3","11","2"
"775007","1","2","21","40","0","3","0","11","18","4"
"784009","1","1","21","32","0","3","0","14","27","1"
