"UIC","de_02_a_04_km","de_04_a_06_km","de_06_a_08_km","de_08_a_10_km","de_10_a_15_km","de_15_a_20_km","de_20_a_30_km","de_30_a_50_km","de_50_a_100_km","moins_de_2_km","Plus_de_100_km","score"
"271494","1","4","3","5","12","8","45","12","6","0","4","9.60677966101695"
"300863","2","6","1","4","6","6","6","15","6","44","3","6.111864406779661"
"286005","2","5","1","2","1","0","0","0","1","87","0","0.7813559322033898"
"318964","2","0","4","3","7","6","15","20","4","37","1","6.323728813559322"
"271007","24","14","19","3","7","3","2","1","0","24","3","2.9016949152542373"
"313874","1","3","0","1","1","2","2","2","3","83","3","2.7542372881355934"
"319012","1","6","2","4","44","4","16","9","10","0","4","8.857627118644068"
"384008","18","18","10","8","4","1","1","1","0","36","1","1.8796610169491526"
"393702","11","3","6","9","17","7","6","5","2","32","4","4.874576271186441"
"345025","19","9","6","4","4","7","2","1","0","49","1","2.0050847457627117"
"581009","7","2","3","5","6","3","1","3","2","62","5","3.666101694915254"
"611004","0","1","0","4","4","1","3","2","3","77","4","3.272881355932203"
"583005","9","6","11","2","3","4","4","10","2","49","1","3.588135593220339"
"575001","2","3","1","3","3","2","4","6","7","63","5","5.272881355932204"
"411017","14","7","4","1","3","2","3","3","3","58","2","2.9305084745762713"
"444877","6","4","2","1","4","4","5","2","0","70","2","2.223728813559322"
"396002","0","3","4","1","3","3","3","5","1","74","4","3.2745762711864406"
"444000","7","7","3","1","6","1","1","1","3","64","6","3.8389830508474576"
"476002","6","3","2","2","2","2","2","3","0","78","0","1.264406779661017"
"471003","0","6","2","3","3","2","2","3","3","74","3","3.093220338983051"
"478404","0","5","5","2","3","4","9","5","2","65","1","3.1372881355932205"
"673400","5","15","3","2","2","1","2","1","1","67","2","2.045762711864407"
"673004","18","6","11","0","4","7","3","2","1","47","1","2.4084745762711863"
"677005","0","1","1","0","8","3","9","2","0","74","2","2.5203389830508476"
"751008","63","0","0","1","3","5","12","5","5","0","6","6.094915254237288"
"762906","0","3","0","12","12","12","10","6","21","1","24","16.776271186440677"
"718007","1","0","2","0","1","2","2","6","2","85","1","2.3372881355932202"
"686006","16","19","6","8","10","3","3","3","2","24","7","5.096610169491526"
"722025","22","12","3","2","2","2","2","1","1","52","2","2.176271186440678"
"713040","6","3","4","2","1","1","1","2","2","75","2","2.166101694915254"
"484006","0","5","4","2","3","3","4","4","4","67","3","3.688135593220339"
"547000","26","23","7","8","8","3","3","2","1","13","5","4.1"
"481002","2","2","6","5","6","2","3","2","4","64","4","3.8372881355932202"
"571000","2","5","6","1","2","1","2","2","1","73","3","2.3813559322033897"
"111849","73","1","4","3","3","3","3","8","2","0","1","3.4372881355932203"
"113001","27","12","13","5","7","2","2","2","1","23","5","3.8220338983050848"
"118000","19","4","2","3","4","3","4","6","2","52","2","3.26271186440678"
"723197","42","13","4","2","4","1","1","1","2","26","3","2.8661016949152542"
"755009","0","3","10","4","7","1","10","5","2","57","1","3.3322033898305086"
"747006","4","13","2","1","2","1","1","1","2","71","1","1.7915254237288136"
"756056","0","0","1","1","1","1","2","1","0","92","1","1.111864406779661"
"142109","0","0","1","6","6","28","26","21","9","0","2","10.138983050847457"
"182014","1","6","7","3","6","7","5","3","5","56","2","4.008474576271187"
"182063","3","5","2","2","3","2","4","2","2","73","1","2.1745762711864405"
"171009","1","3","1","0","2","1","2","2","2","83","3","2.476271186440678"
"141002","10","8","3","1","2","1","3","1","2","68","1","1.9508474576271186"
"773002","0","3","3","2","2","2","1","2","1","83","1","1.616949152542373"
"212027","4","3","3","1","1","2","3","2","2","77","2","2.3271186440677964"
"192039","4","3","2","2","2","3","5","5","3","69","2","3.2389830508474575"
"300822","6","3","3","5","29","4","4","5","1","37","4","4.554237288135593"
"763029","5","0","6","10","6","8","8","13","12","27","5","8.505084745762712"
"784009","0","3","3","1","12","4","8","5","2","60","2","3.6440677966101696"
"775007","0","1","4","1","6","7","7","10","2","60","1","3.811864406779661"
"753657","0","0","2","1","2","4","5","4","0","81","1","1.9796610169491526"
"757625","5","4","1","10","5","1","2","0","1","70","1","1.7186440677966102"
